ref no,hebrew_name,header,short_description_he,description_he,skin_type_he,Anwendung_he,WirkungInhaltsstoffe_he,ingredients,french name,english name,Size,line,pic,all_pics,type,product_type,qty,price
12,ערכת טיפול לגבר,טיפול עמוק לעור הפנים הגברי,"ערכת טיפול מקיפה לעור הגבר, מטפלת בסימני גיל, גילוח ונזקי סביבה. מועשרת בוויטמינים C ו-E להזנה והגנה.","<p>ערכת טיפול זו היא הבחירה המושלמת כאשר סימני הגיל, נזקי הגילוח היומיומי והשפעות הסביבה מתחילים להופיע על עור הפנים הגברי. הטיפול מותאם במיוחד למאפיינים ולצרכים הייחודיים של עור הגבר, ומספק טיפול יעיל לעור עבה יותר, בעל איכות שונה מעור נשי.</p> <ul> <li><strong>הזנה עמוקה וחידוש:</strong> מכיל רכיבים פעילים בעלי יכולת לחות גבוהה, חיזוק מבנה העור והתחדשות תאים.</li> <li><strong>המרצה והרגעה:</strong> ממריץ, מרכך ומרגיע את עור הפנים, ומעניק לו תחושה נינוחה ורעננה.</li> <li><strong>טיפול מקיף:</strong> מטפל בסימני גיל, נזקי גילוח והשפעות סביבתיות, ומחזיר לעור את חיוניותו הטבעית.</li> </ul>","עור יבש, עור עייף, עור רגיש","יש לעקוב אחר שלבי הטיפול המפורטים בערכה. התחילו בניקוי יסודי של העור, המשיכו עם שלבי ההזנה וההתחדשות, וסיימו במריחת קרם לחות. מומלץ להשתמש לפי ההוראות המצורפות לכל מוצר בערכה.","<p> <ul> <li><strong>ויטמין C:</strong> נוגד חמצון עוצמתי המסייע בהגנה על העור מפני נזקי סביבה, תורם להבהרת גוון העור ולמראה אחיד וקורן.</li> <li><strong>ויטמין E:</strong> ויטמין חיוני בעל תכונות נוגדות חמצון, המסייע בהזנת העור, שמירה על לחותו ובהגנה מפני רדיקלים חופשיים.</li> </ul> </p>",,traitement homme,men treatment kit,ערכה,Promoartikel,,,cabin / Kabi,ערכות,48,80
37,חלב ניקוי,ניקוי פנים עדין ומרענן,"ניקוי פנים עדין ומרענן לעור רגיל ויבש, מועשר בתמציות ורדים.","<p>חלב ניקוי פנים ורדים, ניקוי עדין ומרענן לעור רגיל עד יבש, המעניק תחושה של רכות וניקיון מושלם.</p> <ul> <li>מעניק לחות ומותיר את העור רך ונעים למגע.</li> <li>מסיר ביעילות שאריות איפור ולכלוך מבלי לייבש את העור.</li> <li>מועשר בתמציות ורדים מרגיעות ומרעננות, המעניקות ניחוח עדין ונעים.</li> </ul>","עור יבש, עור רגיש","עסו את חלב הניקוי על עור פנים לח ונקי.  בעזרת תנועות עיסוי עדינות, פזרו את החלב על כל הפנים והצוואר. שטפו היטב במים פושרים ונגבו את הפנים במגבת רכה.","<p> <ul> <li>תמצית ורדים: מרגיעה את העור, מעניקה ניחוח עדין ומרעננת.</li> <li>גליצרין: שומר על לחות העור ומותיר אותו רך ונעים.</li> <li>פרו ויטמין B5:  מרגיע גירויים ומסייע בשיקום העור.</li> </ul> </p>",,,rose cleansing milk,"400 מ""ל",Demaquillante,https://www.jda.de/media/catalog/product/cache/818bc609d9795564472e4f094029978c/_/3/_37_lait_rose_400ml_fake_gm_061221_web.png,,cabin / Kabi,ניקוי,8,100
38,טוניק ניקוי,טוניק ורדים לניקוי מושלם,"ניקוי עמוק ומרענן לכל סוגי העור, מועשר במי ורדים.","<p>טוניק ורדים לניקוי מושלם - פתרון ניקוי עמוק ומרענן לעור זוהר ובריא, מתאים לכל סוגי העור.</p> <ul> <li>מסיר ביעילות שאריות איפור, לכלוך ושומנים עודפים, משאיר את העור נקי ורענן.</li> <li>מעניק לחות ומאזן את רמת ה-pH של העור, למראה בריא וזוהר.</li> <li>מועשר במי ורדים טבעיים המסייעים בטיפול מרגיע ומרענן, ומותירים ניחוח ורדים עדין ונעים.</li> </ul>","עור יבש, עור מעורב, עור שמן, עור רגיש","יש להספיג את הטוניק על פד צמר גפן ולנגב בעדינות את עור הפנים והצוואר. מומלץ להשתמש פעמיים ביום, בבוקר ובערב, לאחר ניקוי הפנים. אין צורך לשטוף.","<p> <ul> <li>מי ורדים: מרגיעים את העור, מסייעים באיזון רמות ה-pH ומעניקים ניחוח עדין.</li> </ul> </p>",,, rose tonic,"400 מ""ל",Demaquillante,https://mushtariyat.com/wp-content/uploads/2022/07/jean-d_arcel-lotion-rose-tonic-510x510.jpg,,cabin / Kabi,ניקוי,7,100
39,מים מיסלריים,ניקוי פנים מרענן ופרחוני,"ניקוי פנים יסודי ועדין, מועשר במי ורדים, מתאים לכל סוגי העור.","<p>גלו את סוד הזוהר הטבעי עם מי המיסלריים שלנו, מועשרים במי ורדים, לניקוי פנים יסודי ועדין, שמותיר את עורכם רענן, נקי וזוהר. מושלם לכל סוגי העור.</p> <ul> <li><strong>ניקוי עמוק ומרענן:</strong>  פורמולה ייחודית המנקה ביעילות לכלוך, איפור ושומן עודף, מבלי לייבש את העור.</li> <li><strong>מגע רך כמשי:</strong>  מי הוורדים מעניקים לעור לחות ומרגיעים אותו, ומשאירים אותו רך ונעים למגע.</li> <li><strong>ניחוח פרחוני משכר:</strong>  תיהנו מחוויית ניקוי מפנקת עם ניחוח ורדים עדין ומרענן.</li> </ul>","עור יבש, עור מעורב, עור שמן, עור רגיש","הרטיבו פד צמר גפן במי המיסלריים ונקו בעדינות את עור הפנים והצוואר. אין צורך לשטוף. לניקוי איפור עמיד, הניחו את הפד הספוג על האזור לכמה שניות.","<p> <ul> <li>מי ורדים (Rosa Damascena Flower Water): מרכיב טבעי המרגיע את העור, מעניק לחות וניחוח עדין.</li> <li>גליצרין (Glycerin):  שומר על לחות העור ומותיר אותו רך ונעים למגע.</li> <li>ניאצינמיד (Niacinamide): מסייע בהפחתת פגמים ואדמומיות, משפר את מרקם העור.</li> <li>תמצית יסמין (Jasminum Officinale Flower Extract):  מרגיעה את העור ומעניקה ניחוח פרחוני משכר.</li> </ul> </p>",,,micelar rose water,"400 מ""ל",Demaquillante,https://www.jda.de/media/catalog/product/cache/818bc609d9795564472e4f094029978c/_/3/_39_eau_micellaire_rose_400ml_fake_gm_061221_web.png,,retail / VK,ניקוי,14,90
100,ג'ל ניקוי לעור הפנים,ניקוי פנים עדין ומרענן,ניקוי עדין ומרענן לכל סוגי העור עם נוסחת הקצפה ייחודית.,"<p>ג'ל ניקוי פנים חדשני המעניק ניקוי יסודי ועדין לעור, ומותיר אותו רענן וזוהר.</p> <ul>   <li>הופך לקצף עשיר ונעים המנקה ביסודיות מבלי לייבש את העור.</li>   <li>מסיר ביעילות שאריות איפור, לכלוך וזיהום אוויר, גם איפור עמיד.</li>   <li>מתאים לכל סוגי העור,  ומותיר תחושה רכה ונינוחה.</li> </ul>","עור מעורב, עור רגיש",הקציפי כמות קטנה של ג'ל עם מים. עסי את הקצף על פנייך בתנועות סיבוביות ועדינות. שטפי את פנייך במים פושרים.,"<p> <ul> <li>שמן נר הלילה: עשיר בחומצות שומן חיוניות התורמות לריכוך והזנת העור.</li> <li>D-Panthenol:  מרגיע גירויים ואדמומיות, ומסייע בשמירה על לחות העור.</li> <li>Pentavitin®:  מולקולה ייחודית המספקת לחות אינטנסיבית וממושכת לעור.</li> <li>תמצית שיבולת שועל: מנקה ביסודיות ובקלות את העור, ומותירה אותו רך ונעים.</li> </ul> </p>",,,mild gel cleanser,"200 מ""ל",Demaquillante,https://www.jda.de/media/catalog/product/cache/818bc609d9795564472e4f094029978c/m/u/multibalance_gel_demaquillant_confort_200ml_verp_02_1_1.png,,retail / VK,ניקוי,1,100
102,קרם ליפטינג קומפורט,מיצוק והזנה לעור בוגר,"קרם אנטי-אייג'ינג עוצמתי למיצוק העור והפחתת קמטים, מועשר באיזופלבונים של איריס.","<p>קרם אנטי-אייג'ינג עוצמתי במרקם עשיר וקטיפתי, המעניק אפקט מתיחה נראה לעין, ממצק את העור ומסייע בהפחתת קמטים וקמטוטים. מיועד לעור בוגר הזקוק למיצוק, הזנה וחידוש.</p> <ul> <li><strong>מיצוק וליפטינג:</strong> תמצית פרחי Spilanthes Acmella, המכונה ""בוטוקס טבעי"", פועלת להרפיית שרירי ההבעה, מחליקה קמטים ומעניקה אפקט מתיחה מיידי.</li> <li><strong>חידוש ושיקום:</strong> איזופלבונים משורש איריס פלורנטינה מעודדים את ייצור הקולגן והאלסטין, מחזקים את רקמת החיבור ומסייעים בבנייה מחדש של מחסום ההגנה של העור.</li> <li><strong>הזנה עשירה ולחות:</strong> קומפלקס שמנים איכותיים כמו שמן מקדמיה, אבוקדו, חוחובה ונר הלילה, יחד עם חמאת קופואסו, מעניקים לחות אינטנסיבית, גמישות ורכות, ומגנים מפני יובש לאורך זמן.</li> <li><strong>אנרגיה והגנה:</strong> תמצית פלנקטון ממריצה את חילוף החומרים בתאים, וי","עור יבש,עור עייף","יש למרוח בבוקר ובערב על עור פנים וצוואר נקיים, ולעסות בעדינות עד לספיגה מלאה."," <ul> <li><strong>איזופלבונים של איריס (Iris Isoflavones):</strong> רכיב אנטי-אייג'ינג עוצמתי המעודד את ייצור הקולגן והאלסטין, מחזק את רקמת החיבור של העור ומסייע בהפחתת עומק הקמטים באופן נראה לעין.</li> <li><strong>תמצית פרחי Spilanthes Acmella:</strong> מכונה ""הבוטוקס הטבעי"", רכיב זה פועל להרפיית שרירי ההבעה, מחליק קמטים וקמטוטים ומעניק אפקט מיצוק ומתיחה מיידי.</li> <li><strong>שמן נר הלילה (Evening Primrose Oil):</strong> עשיר בחומצות שומן חיוניות, מעניק גמישות ורכות לעור, מפעיל את תפקודי התא ומסייע בשיקום מחסום ההגנה הטבעי של העור.</li> <li><strong>חמאת קופואסו (Cupuaçu Butter):</strong> בעלת יכולת ספיחת לחות גבוהה, מעניקה הזנה עשירה וארוכת טווח, מרגיעה את העור ומתאימה גם לעור רגיש במיוחד.</li> </ul>","Aqua (Water), Glycerin, Squalane, Macadamia Integrifolia Seed Oil, Persea Gratissima (Avocado) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Theobroma Grandiflorum Seed Butter, Cetearyl Isononanoate, Glyceryl Stearate Citrate, Propylheptyl Caprylate, Butylene Glycol, Panthenol, Cetearyl Alcohol, Lauryl Laurate, Caprylic/Capric Triglyceride, Glyceryl Stearate, Tocopheryl Acetate, Oenothera Biennis (Evening Primrose) Oil, Iris Florentina Root Extract, Spilanthes Acmella Flower Extract, Artemia Extract, Bisabolol, Pantolactone, Dimethicone, Glycine Soja (Soybean) Oil, Lecithin, Sodium Stearoyl Glutamate, Glyceryl Oleate, Polyacrylate Crosspolymer-6, Xanthan Gum, t-Butyl Alcohol, Sodium Chloride, Sodium Sulfate, Tetrasodium Glutamate Diacetate, Tocopherol, Ascorbyl Palmitate, Lactic Acid, Citric Acid, Sodium Hydroxide, Ethylhexylglycerin, Phenoxyethanol, Potassium Sorbate, Dehydroacetic Acid, Benzoic Acid, Limonene, Benzyl Alcohol, Parfum Fragrance, CI 15985 Yellow 6 Vers. 002",creme lifting confort,lifting comfort cream,"50 מ""ל צנצנת",Multibalance,https://www.jda.de/media/catalog/product/_/1/_102_creme_lifting_confort.png,"https://www.jda.de/media/catalog/product/cache/9726a1761a28c4bc1603e8fd71fc1348/_/1/_102_creme_lifting_confort.png,https://www.jda.de/media/catalog/product/cache/9726a1761a28c4bc1603e8fd71fc1348/_/1/_102_creme_lifting_confort_2.png,https://www.jda.de/media/catalog/product/cache/9726a1761a28c4bc1603e8fd71fc1348/_/1/_102_creme_lifting_confort_.jpg",retail / VK,קרמים,40,160
103,קרם לחות אנטי-אייג'ינג,לחות עמוקה לעור זוהר,"קרם לחות אנטי-אייג'ינג עשיר להפחתת קמטוטים, לעור בוגר ויבש, מועשר בתמצית שורש איריס.","<p>קרם עשיר הפועל 24 שעות ביממה ומעניק לחות אינטנסיבית להפחתת קמטוטי יובש ומראה עור זוהר ואחיד. פותח במיוחד עבור עור בוגר, תובעני ויבש הזקוק לשיקום והגנה.</p> <ul> <li><strong>הפחתת קמטים נראית לעין:</strong> איזופלבונים משורש איריס פועלים כרכיב אנטי-סטרס לעור, מחליקים קמטים קיימים ומעניקים מראה מוצק ומהודק יותר.</li> <li><strong>לחות והגנה לאורך זמן:</strong> חמאת קופואסו בעלת יכולת ספיחת מים גבוהה, מחזקת את מחסום העור, מונעת אובדן לחות ומעניקה אפקט טיפוח מתמשך.</li> <li><strong>שיקום וגמישות:</strong> תמצית פלנקטון ממריצה את חילוף החומרים בתאים ומגבירה את יכולת התיקון העצמית של העור, בעוד שמן נר הלילה משיב לעור את גמישותו ורכותו.</li> <li><strong>הזנה והרגעה:</strong> שמני מקדמיה ואבוקדו מזינים לעומק, מרגיעים עור יבש ומגורה ונספגים במהירות מבלי להותיר תחושה שמנונית.</li> </ul> <p>הקרם בעל מרקם קטיפתי ומהווה בסיס אידיאלי לאיפור.</p>","עור יבש,עור מעורב,עור עייף","יש למרוח בבוקר ובערב על עור פנים וצוואר נקיים, ולעסות בעדינות עד לספיגה מלאה."," <ul> <li><strong>תמצית שורש איריס (Iris Florentina Root Extract):</strong> עשירה באיזופלבונים, פועלת כרכיב אנטי-אייג'ינג עוצמתי. היא מחזקת את מחסום ההגנה של העור, מונעת אובדן לחות, מפחיתה באופן נראה לעין את עומק הקמטים ומעניקה לעור מראה מוצק ומהודק.</li> <li><strong>שמן נר הלילה (Evening Primrose Oil):</strong> שמן יוקרתי המשיב לעור את גמישותו ורכותו. הוא ממריץ את תפקודי התאים, מסייע בשיקום העור ותורם למראה חיוני וצעיר יותר.</li> <li><strong>חמאת קופואסו (Theobroma Grandiflorum Seed Butter):</strong> חמאה טרופית בעלת יכולת יוצאת דופן לקשור מים, המעניקה לחות אינטנסיבית ומתמשכת. היא מחזקת את מחסום העור, בעלת אפקט אנטי-דלקתי ומרגיעה גם עור רגיש במיוחד.</li> <li><strong>תמצ","Aqua (Water), Glycerin, Isoamyl Laurate, Cocoglycerides, Undecane, Cetearyl Alcohol, Hydrogenated Coco- Glycerides, Tridecane, Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Raphanus Sativus (Radish) Seed Extract, Taraxacum Officinale (Dandelion) Rhizome/ Root Extract, Chlorella Vulgaris Extract, Jania Rubens Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Sesamum Indicum (Sesame) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Maris Aqua Sea Water, Hydrolyzed Algin, Caprylyl Glycol, Saccharide Isomerate, Sodium Hyaluronate, Pentylene Glycol, Phenethyl Alcohol, Sodium Stearoyl Glutamate, Tocopherol, Sodium Carrageenan, Sorbitan Isostearate, Cetearyl Glucoside, Xanthan Gum, Sclerotium Gum, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Phytic Acid, Sodium Citrate, Citric Acid, Sodium Hydroxide, Phenoxyethanol, Sorbic Acid, Benzyl Salicylate, Limonene, Linalool, Geraniol, Citral, Coumarin, Alpha-Isomethyl Ionone, Citronellol, Parfum Fragrance Vers. 001",creme hydro anti-age,deep moisture lift ,"50 מ""ל צנצנת",Multibalance,https://www.jda.de/media/catalog/product/h/o/homme_gel-creme_50ml_tiegel_altesdesign.png,"https://www.jda.de/media/catalog/product/cache/9726a1761a28c4bc1603e8fd71fc1348/h/o/homme_gel-creme_50ml_tiegel_altesdesign.png,https://www.jda.de/media/catalog/product/cache/9726a1761a28c4bc1603e8fd71fc1348/h/o/homme_gel_creme_anti_age_50ml_verp_02_1_1.png,https://www.jda.de/media/catalog/product/cache/9726a1761a28c4bc1603e8fd71fc1348/2/0/2021-jda-homme-instagram-004.jpg",retail / VK,קרמים,,
104,קרם עשיר אנטי-אייג'ינג,"לחות עשירה, מראה זוהר וצעיר","קרם עשיר להזנה אינטנסיבית, הפחתת קמטים ומיצוק העור. מיועד לעור בוגר ויבש במיוחד.","<p>קרם הזנה אינטנסיבי ל-24 שעות, המיועד במיוחד לעור בוגר, יבש מאוד וחסר לחות. פורמולה עשירה במיוחד עם אחוז גבוה של שמנים טבעיים ורכיבי ליפידים איכותיים, המעניקה טיפול מקיף להפחתת קמטים, מיצוק והשבת החיוניות לעור.</p> <ul> <li><strong>הפחתת קמטים ומיצוק:</strong> תמצית פלנקטון ממריצה את חילוף החומרים בתאים ומגבירה את יכולת התיקון של העור. תמצית שורש איריס מחזקת את מחסום העור, מגנה עליו מפני אובדן מים ומעניקה אפקט אנטי-אייג'ינג נראה לעין.</li> <li><strong>הזנה ולחות עמוקה:</strong> חמאת קופואסו, שמן אבוקדו ושמן מקדמיה מעניקים לחות אינטנסיבית, מרגיעים עור יבש ומחוספס, ומגנים עליו מפני התייבשות.</li> <li><strong>שיקום וגמישות:</strong> D-פנתנול וחומצה היאלורונית פועלים יחד לשיפור מאגרי הלחות בעור, עידוד התחדשות התאים והענקת מראה עור חלק, גמיש ומלא יותר.</li> </ul>","עור יבש,עור עייף","יש למרוח בבוקר ובערב על עור פנים וצוואר נקיים, ולעסות בעדינות עד לספיגה מלאה."," <ul> <li><strong>תמצית שורש איריס (Iris Florentina Root Extract):</strong> רכיב אנטי-אייג'ינג עוצמתי המחזק את מחסום ההגנה הטבעי של העור, מונע אובדן לחות ומסייע בהפחתת מראה הקמטים.</li> <li><strong>תמצית פלנקטון (Plankton Extract):</strong> ממריצה את תהליכי התיקון וההתחדשות של תאי העור, תורמת למיצוק העור, משפרת את המרקם ומעניקה מראה חיוני ורענן.</li> <li><strong>חמאת קופואסו (Theobroma Grandiflorum Seed Butter):</strong> חמאה טבעית בעלת יכולת ספיחת לחות גבוהה במיוחד. היא מעניקה הזנה עמוקה וארוכת טווח, מרגיעה את העור ומתאימה גם לעור רגיש במיוחד.</li> <li><strong>חומצה היאלורונית (Sodium Hyaluronate):</strong> ידועה ביכולתה לספוח מים עד פי 1000 ממשקלה. היא מעניקה לחות אינטנסיבית, ממלאת קמטוטים מבפנים ומותירה את העור חלק, גמיש ובעל מראה מלא יותר.</li> </ul>","Aqua (Water), Glycerin, Macadamia Integrifolia Seed Oil, Squalane, Theobroma Grandiflorum Seed Butter, Caprylic/Capric Triglyceride, Glycol Palmitate, Butylene Glycol, Cetearyl Alcohol, Neopentyl Glycol Diheptanoate, Panthenol, Cetearyl Isononanoate, Lauryl Laurate, C20-22 Alkyl Phosphate, Saccharide Isomerate, C20-22 Alcohols, Hexyldecanol, Persea Gratissima (Avocado) Oil, Palmitic Acid, Stearic Acid, Sodium Hyaluronate, Oenothera Biennis (Evening Primrose) Oil, Iris Florentina Root Extract, Chlorella Vulgaris Extract, Hydrolyzed Algin, Artemia Extract, Maris Aqua Sea Water, Dimethicone, Pantolactone, Lecithin, Hexyldecyl Laurate, Glyceryl Stearate, Glyceryl Oleate, Xanthan Gum, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Tocopherol, Ascorbyl Palmitate, Tetrasodium Glutamate Diacetate, Sodium Citrate, Citric Acid, Lactic Acid, Sodium Hydroxide, Ethylhexylglycerin, Phenoxyethanol, Potassium Sorbate, Dehydroacetic Acid, Benzoic Acid, Limonene, Linalool, Benzyl Alcohol, Parfum Fragrance Vers. 002",creme riche anti-age,deep moisture lift rich ,"50 מ""ל צנצנת",Multibalance,https://www.jda.de/media/catalog/product/_/1/_104_creme_riche_anti_age.png,"https://www.jda.de/media/catalog/product/cache/9726a1761a28c4bc1603e8fd71fc1348/_/1/_104_creme_riche_anti_age.png,https://www.jda.de/media/catalog/product/cache/9726a1761a28c4bc1603e8fd71fc1348/_/1/_104_creme_riche_anti_age_2.png",retail / VK,קרמים,52,160
105,מסכת הרמה ושיקום,מסכה לשיקום ומיצוק העור,"מסכת קרם אנטי-אייג'ינג למיצוק, החלקת קמטוטים ושיפור גמישות העור, מועשרת בתמצית איריס ופלנקטון.","<p>מסכת קרם אנטי-אייג'ינג עוצמתית המעניקה אפקט מיצוק ומתיחה נראה לעין. המסכה פועלת להחלקת קמטים וקמטוטים, לשיפור גמישות העור ולהענקת מראה צעיר ורענן יותר. מתאימה לשימוש על עור הפנים, הצוואר, המחשוף ואף על גב כפות הידיים.</p> <ul> <li><strong>אפקט אנטי-אייג'ינג מקיף:</strong> תמצית שורש איריס ואיזופלבונים פועלים יחד לחיזוק מחסום העור, להפחתת עומק הקמטים ולהגנה מפני נזקי הסביבה.</li> <li><strong>מיצוק ושיקום:</strong> תמצית פלנקטון ממריצה את חילוף החומרים בתאים, משפרת את יכולת התיקון העצמי של העור ותורמת למבנה עור מוצק ומהודק יותר.</li> <li><strong>הזנה ולחות אינטנסיבית:</strong> שילוב של שמנים יוקרתיים כמו שמן נר הלילה, שמן מקדמיה וחמאת קופואסו מעניקים לחות עשירה, משפרים את גמישות העור ומותירים אותו רך ונעים למגע.</li> <li><strong>הגנה נוגדת חמצון:</strong> ויטמינים C ו-E מגנים על העור מפני רדיקלים חופשיים, תומכים בהתחדשות התאים ומאטים את תהליכי ההזדקנות.</li> </ul>","עור יבש, עור עייף, עור רגיש","יש למרוח שכבה נדיבה על עור פנים נקי פעם עד פעמיים בשבוע, בבוקר או בערב, ולהשאיר למשך 10-15 דקות. יש להסיר שאריות בעזרת מים פושרים ולאחר מכן להשלים את הטיפוח עם מי פנים וקרם לחות המותאם לסוג העור."," <ul> <li><strong>תמצית שורש איריס (Iris Florentina Root Extract):</strong> עשירה באיזופלבונים, מחזקת את מחסום ההגנה הטבעי של העור, מסייעת בהפחתת עומק הקמטים ומעניקה אפקט אנטי-אייג'ינג נראה לעין.</li> <li><strong>תמצית פלנקטון (Plankton Extract):</strong> רכיב ביו-טכנולוגי הממריץ את חילוף החומרים בתאים, משפר את יכולת התיקון העצמי של העור ותורם למבנה עור מוצק, מהודק וגמיש יותר.</li> <li><strong>שמן נר הלילה (Evening Primrose Oil):</strong> שמן יוקרתי הידוע ביכולתו להזין את העור, לשפר את גמישותו ולהעניק לו רכות ומרקם קטיפתי.</li> <li><strong>חמאת קופואסו (Theobroma Grandiflorum Seed Butter):</strong> חמאה טבעית מאזור האמזונס בעלת יכולת ספיחת לחות גבוהה. היא מרגיעה את העור, מזינה אותו לעומק ומעניקה אפקט טיפוח ארוך טווח.</li> </ul>","Aqua (Water), Prunus Amygdalus Dulcis (Sweet Almond) Oil, Glycerin, Cocoglycerides, Cetearyl Alcohol, Theobroma Grandiflorum Seed Butter, Cetearyl Isononanoate, Polymethyl Methacrylate, Butylene Glycol, Macadamia Integrifolia Seed Oil, Methylpropanediol, Arachidyl Alcohol, Saccharide Isomerate, Coco-Glucoside, Hydrolyzed Soy Protein, Oenothera Biennis (Evening Primrose) Oil, Palmitoyl Proline, Magnesium Palmitoyl Glutamate, Sapindus Mukurossi Fruit Extract, Iris Florentina Root Extract, Caesalpinia Spinosa Gum, Lecithin, Pentylene Glycol, Caprylyl Glycol, Sodium Stearoyl Glutamate, Arachidyl Glucoside, Sorbitan Isostearate, Glyceryl Stearate, Glyceryl Oleate, Behenyl Alcohol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Xanthan Gum, Sodium Palmitoyl Sarcosinate, Caprylyl/Capryl Glucoside, 1,2-Hexanediol, Sodium Chloride, Sodium Sulfate, Tocopherol, Ascorbyl Palmitate, Caprylhydroxamic Acid, Tetrasodium Glutamate Diacetate, Sodium Citrate, Lactic Acid, Citric Acid, Sodium Hydroxide, Ethylhexylglycerin, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Limonene, Benzyl Alcohol, Parfum Fragrance, CI 15985 Yellow 6 Vers. 002",masque anti-age,lift repair mask,"50 מ""ל שפורפרת",Multibalance,https://www.jda.de/media/catalog/product/_/1/_105_masque_anti_age.png,"https://www.jda.de/media/catalog/product/cache/9726a1761a28c4bc1603e8fd71fc1348/_/1/_105_masque_anti_age.png,https://www.jda.de/media/catalog/product/cache/9726a1761a28c4bc1603e8fd71fc1348/_/1/_105_masque_anti_age_2.png",retail / VK,מסכות,,
106,קרם לצוואר ולמחשוף,צוואר חלק ומוצק,"קרם ממצק לצוואר ולמחשוף, מחליק קמטוטים ומעניק מראה צעיר ורענן בזכות תמצית שורש איריס.","<p>טיפול ממוקד להחלקת העור העדין בצוואר ובמחשוף. קרם עשיר ברכיבים פעילים הפועל למיצוק העור, טשטוש קמטוטים והענקת מראה צעיר ורענן. המרקם הקטיפתי נספג במהירות, אינו שמנוני ומתאים במיוחד לעור רגיש.</p> <ul> <li><strong>מיצוק וגמישות:</strong> תמצית שורש איריס ותמצית פלנקטון פועלות יחד לחיזוק מבנה העור, הגברת הגמישות והפחתה נראית לעין של קמטים וקמטוטים.</li> <li><strong>לחות והזנה עמוקה:</strong> חמאת קופואסו, ויטמין E ופנתנול מעניקים לחות אינטנסיבית, מרגיעים את העור ומגנים עליו מפני נזקי הסביבה ורדיקלים חופשיים.</li> <li><strong>שיקום וחידוש:</strong> שמן נר הלילה ושמן חוחובה מזינים את העור, תומכים בתהליך התחדשות התאים ומותירים את אזור הצוואר והמחשוף חלק, רך ובעל מראה חיוני.</li> </ul>","עור עייף, עור רגיש","יש למרוח בבוקר ובערב על עור נקי באזור הצוואר והמחשוף, ולעסות בעדינות עד לספיגה מלאה."," <ul> <li><strong>תמצית שורש איריס (Iris Florentina Root Extract):</strong> רכיב אנטי-אייג'ינג עוצמתי המחזק את מחסום ההגנה הטבעי של העור, מונע אובדן לחות ומסייע בטשטוש קמטים וקמטוטים למראה עור מוצק וחלק יותר.</li> <li><strong>תמצית פלנקטון (Plankton Extract):</strong> ממריצה את חילוף החומרים בתאים, משפרת את יכולת התיקון העצמי של העור ותורמת למבנה עור הדוק ומוצק יותר.</li> <li><strong>חמאת קופואסו (Theobroma Grandiflorum Seed Butter):</strong> חמאה טבעית בעלת יכולת ספיחת לחות גבוהה, מרגיעה את העור, מפחיתה דלקתיות ומעניקה הזנה ארוכת טווח, אידיאלית גם לעור רגיש במיוחד.</li> <li><strong>ויטמין E (Tocopheryl Acetate):</strong> נוגד חמצון חיוני המגן על העור מפני נזקי רדיקלים חופשיים, תומך בהתחדשות התאים ומסייע לשמור על מראה עור בריא וצעיר.</li> </ul>",,crème cou et décolleté,neck firming care,"50 מ""ל שפורפרת",Multibalance,https://corporate.jda.de/wp-content/uploads/2022/03/106_CREME_COU_ET_DECOLLETE-e1750063699913.jpg,,retail / VK,קרמים,20,140
